"Query_sequence","Most_common_class.level.assignment","Class.level_assignment","Most_common_order.level.assignment","Order.level_assignment","Most_common_family.level.assignment","Family.level_assignment","Taxon_assignment","Likelihood_weight","otu","Extraction_ID","Tree_ID","site_ID"
"EUSF0541_ITS1F_D12_cleaned.ab1","Dothideomycetes","Dothideomycetes","Pleosporales","Pleosporales","Pleosporaceae","Pleosporaceae","Pleospora_herbarum","0.999451","OTU12","EUSF0541","S1T3","S1"
"EUSF0513_ITS1F_A01_cleaned.ab1","Sordariomycetes","Sordariomycetes","Diaporthales","Diaporthales","Diaporthaceae","Diaporthaceae","Diaporthe_eres","1","OTU110","EUSF0513","S1T1","S1"
"EUSF0514_ITS1F_B01_cleaned.ab1","Dothideomycetes","Dothideomycetes","Capnodiales","Capnodiales","Mycosphaerellaceae","Mycosphaerellaceae","Ramularia_endophylla,Zymoseptoria_tritici","0.443956, 0.343666, 0.206628","OTU109","EUSF0514","S1T1","S1"
"EUSF0515_ITS1F_C01_cleaned.ab1","Dothideomycetes","Dothideomycetes","Botryosphaeriales","Botryosphaeriales","Botryosphaeriaceae","Botryosphaeriaceae","Neofusicoccum_kwambonambiense,Neofusicoccum_ribis","0.977272","OTU45","EUSF0515","S1T1","S1"
"EUSF0516_ITS1F_D01_cleaned.ab1","Dothideomycetes","Dothideomycetes","Capnodiales","Capnodiales","Cladosporiaceae","Cladosporiaceae","Cladosporium_cladosporioides","0.999895","OTU11","EUSF0516","S1T1","S1"
"EUSF0517_ITS1F_E01_cleaned.ab1","Dothideomycetes","Dothideomycetes","Botryosphaeriales","Botryosphaeriales","Botryosphaeriaceae","Botryosphaeriaceae","Neofusicoccum_kwambonambiense,Neofusicoccum_ribis","0.977272","OTU45","EUSF0517","S1T1","S1"
"EUSF0518_ITS1F_F01_cleaned.ab1","Dothideomycetes","Dothideomycetes","Botryosphaeriales","Botryosphaeriales","Botryosphaeriaceae","Botryosphaeriaceae","Neofusicoccum_kwambonambiense,Neofusicoccum_ribis","0.977272","OTU45","EUSF0518","S1T1","S1"
"EUSF0519_ITS1F_G01_cleaned.ab1","Dothideomycetes","Dothideomycetes","Capnodiales","Capnodiales","Cladosporiaceae","Cladosporiaceae","Cladosporium_cladosporioides","0.999895","OTU11","EUSF0519","S1T1","S1"
"EUSF0520_ITS1F_H01_cleaned.ab1","Sordariomycetes","Sordariomycetes","Xylariales","Xylariales","Xylariaceae","Xylariaceae","Geniculisynnema_termiticola,Nemania_serpens","0.380061, 0.308055, 0.282385","OTU31","EUSF0520","S1T1","S1"
"EUSF0521_ITS1F_A02_cleaned.ab1","Dothideomycetes","Dothideomycetes","Capnodiales","Capnodiales","Cladosporiaceae","Cladosporiaceae","Cladosporium_cladosporioides","0.999895","OTU11","EUSF0521","S1T1","S1"
"EUSF0522_ITS1F_B02_cleaned.ab1","Sordariomycetes","Sordariomycetes","Xylariales","Xylariales","Xylariaceae","Xylariaceae","Biscogniauxia_mediterranea","1","OTU39","EUSF0522","S1T1","S1"
"EUSF0523_ITS1F_F12_cleaned.ab1","Dothideomycetes","Dothideomycetes","Botryosphaeriales","Botryosphaeriales","Botryosphaeriaceae","Botryosphaeriaceae","Neofusicoccum_kwambonambiense,Neofusicoccum_ribis","0.977272","OTU45","EUSF0523","S1T1","S1"
"EUSF0524_ITS1F_G12_cleaned.ab1","Dothideomycetes","Dothideomycetes","Capnodiales","Capnodiales","Cladosporiaceae","Cladosporiaceae","Cladosporium_cladosporioides","0.999901","OTU265","EUSF0524","S1T1","S1"
"EUSF0525_ITS1F_C02_cleaned.ab1","Dothideomycetes","Dothideomycetes","Botryosphaeriales","Botryosphaeriales","Botryosphaeriaceae","Botryosphaeriaceae","Neofusicoccum_kwambonambiense,Neofusicoccum_ribis","0.977272","OTU45","EUSF0525","S1T1","S1"
"EUSF0526_ITS1F_D02_cleaned.ab1","Dothideomycetes","Dothideomycetes","Capnodiales","Capnodiales","Cladosporiaceae","Cladosporiaceae","Cladosporium_cladosporioides","0.999902","OTU161","EUSF0526","S1T1","S1"
"EUSF0527_ITS1F_E02_cleaned.ab1","Dothideomycetes","Dothideomycetes","Capnodiales","Capnodiales","Mycosphaerellaceae","Mycosphaerellaceae","Ramularia_endophylla,Zymoseptoria_tritici","0.443956, 0.343666, 0.206628","OTU109","EUSF0527","S1T2","S1"
"EUSF0528_ITS1F_F02_cleaned.ab1","Eurotiomycetes","Eurotiomycetes","Eurotiales","Eurotiales","Aspergillaceae","Aspergillaceae","Penicillium_viridicatum,Penicillium_freii","0.863015, 0.093006","OTU222","EUSF0528","S1T4","S1"
"EUSF0529_ITS1F_G02_cleaned.ab1","Dothideomycetes","Dothideomycetes","Capnodiales","Capnodiales","Mycosphaerellaceae","Mycosphaerellaceae","Ramularia_endophylla,Zymoseptoria_tritici","0.443956, 0.343666, 0.206628","OTU109","EUSF0529","S1T2","S1"
"EUSF0530_ITS1F_H02_cleaned.ab1","Dothideomycetes","Dothideomycetes","Capnodiales","Capnodiales","Mycosphaerellaceae","Mycosphaerellaceae","Ramularia_endophylla,Zymoseptoria_tritici","0.443956, 0.343666, 0.206628","OTU109","EUSF0530","S1T2","S1"
"EUSF0531_ITS1F_H12_cleaned.ab1","Dothideomycetes","Dothideomycetes","Capnodiales","Capnodiales","Mycosphaerellaceae","Mycosphaerellaceae","Ramularia_endophylla,Zymoseptoria_tritici","0.443956, 0.343666, 0.206628","OTU109","EUSF0531","S1T2","S1"
"EUSF0532_ITS1F_A12_cleaned.ab1","Dothideomycetes","Dothideomycetes","Capnodiales","Capnodiales","Cladosporiaceae","Cladosporiaceae","Cladosporium_cladosporioides","0.999895","OTU11","EUSF0532","S1T2","S1"
"EUSF0533_ITS1F_B12_cleaned.ab1","Dothideomycetes","Dothideomycetes","Capnodiales","Capnodiales","Mycosphaerellaceae","Mycosphaerellaceae","Ramularia_endophylla,Zymoseptoria_tritici","0.443956, 0.343666, 0.206628","OTU109","EUSF0533","S1T2","S1"
"EUSF0534_ITS1F_A03_cleaned.ab1","Dothideomycetes","Dothideomycetes","Capnodiales","Capnodiales","Cladosporiaceae","Cladosporiaceae","Cladosporium_cladosporioides","0.999895","OTU11","EUSF0534","S1T2","S1"
"EUSF0535_ITS1F_B03_cleaned.ab1","Dothideomycetes","Dothideomycetes","Capnodiales","Capnodiales","Mycosphaerellaceae","Mycosphaerellaceae","Ramularia_endophylla,Zymoseptoria_tritici","0.443956, 0.343666, 0.206628","OTU109","EUSF0535","S1T2","S1"
"EUSF0536_ITS1F_C03_cleaned.ab1","Pezizomycetes","Pezizomycetes","Pezizales","Pezizales","Pyronemataceae","Pyronemataceae","Tricharina_praecox","1","OTU103","EUSF0536","S1T3","S1"
"EUSF0537_ITS1F_D03_cleaned.ab1","Dothideomycetes","Dothideomycetes","Capnodiales","Capnodiales","Cladosporiaceae","Cladosporiaceae","Cladosporium_cladosporioides","0.999895","OTU11","EUSF0537","S1T3","S1"
"EUSF0538_ITS1F_E03_cleaned.ab1","Dothideomycetes","Dothideomycetes","Capnodiales","Capnodiales","Cladosporiaceae","Cladosporiaceae","Cladosporium_cladosporioides","0.999895","OTU11","EUSF0538","S1T3","S1"
"EUSF0539_ITS1F_F03_cleaned.ab1","Dothideomycetes","Dothideomycetes","Capnodiales","Capnodiales","Cladosporiaceae","Cladosporiaceae","Cladosporium_cladosporioides","0.999895","OTU11","EUSF0539","S1T3","S1"
"EUSF0540_ITS1F_C12_cleaned.ab1","Dothideomycetes","Dothideomycetes","Pleosporales","Pleosporales","Pleosporaceae","Pleosporaceae","Pleospora_herbarum","0.990633","OTU38","EUSF0540","S1T3","S1"
"EUSF0542_ITS1F_G03_cleaned.ab1","Dothideomycetes","Dothideomycetes","Pleosporales","Pleosporales","Pleosporaceae","Pleosporaceae","Pleospora_herbarum","0.980613","OTU159","EUSF0542","S1T3","S1"
"EUSF0543_ITS1F_H03_cleaned.ab1","Dothideomycetes","Dothideomycetes","Capnodiales","Capnodiales","Cladosporiaceae","Cladosporiaceae","Cladosporium_cladosporioides","0.999896","OTU249","EUSF0543","S1T3","S1"
"EUSF0544_ITS1F_A04_mixed_cleaned.ab1","Dothideomycetes","Dothideomycetes","Pleosporales","Pleosporales","Pleosporaceae","Pleosporaceae","Pleospora_herbarum","0.990633","OTU38","EUSF0544","S1T3","S1"
"EUSF0545_ITS1F_B04_cleaned.ab1","Dothideomycetes","Dothideomycetes","Pleosporales","Pleosporales","Pleosporaceae","Pleosporaceae","Pleospora_herbarum","0.993575","OTU113","EUSF0545","S1T3","S1"
"EUSF0546_ITS1F_C04_cleaned.ab1","Pezizomycetes","Pezizomycetes","Pezizales","Pezizales","Pezizaceae","Pezizaceae","Peziza_praetervisa,Peziza_proteana,Peziza_lobulata","0.978465","OTU183","EUSF0546","S1T3","S1"
"EUSF0547_ITS1F_D04_cleaned.ab1","Dothideomycetes","Dothideomycetes","Botryosphaeriales","Botryosphaeriales","Botryosphaeriaceae","Botryosphaeriaceae","Neofusicoccum_kwambonambiense,Neofusicoccum_ribis","0.977272","OTU45","EUSF0547","S1T3","S1"
"EUSF0548_ITS1F_E04_cleaned.ab1","Dothideomycetes","Dothideomycetes","Capnodiales","Capnodiales","Cladosporiaceae","Cladosporiaceae","Cladosporium_cladosporioides","0.999895","OTU11","EUSF0548","S1T3","S1"
"EUSF0549_ITS1F_F04_cleaned.ab1","Dothideomycetes","Dothideomycetes","Capnodiales","Capnodiales","Cladosporiaceae","Cladosporiaceae","Cladosporium_cladosporioides","0.999895","OTU11","EUSF0549","S1T3","S1"
"EUSF0550_ITS1F_G04_cleaned.ab1","Dothideomycetes","Dothideomycetes","Capnodiales","Capnodiales","Cladosporiaceae","Cladosporiaceae","Cladosporium_cladosporioides","0.999895","OTU11","EUSF0550","S1T3","S1"
"EUSF0551_ITS1F_H04_mixed_cleaned.ab1","Dothideomycetes","Dothideomycetes","Pleosporales","Pleosporales","Pleosporaceae","Pleosporaceae","Pleospora_herbarum","0.990633","OTU38","EUSF0551","S1T3","S1"
"EUSF0552_ITS1F_A05_cleaned.ab1","Dothideomycetes","Dothideomycetes","Pleosporales","Pleosporales","Pleosporaceae","Pleosporaceae","Alternaria_sp,Alternaria_tenuissima,Alternaria_alternata","0.920589, 0.019868, 0.019865","OTU239","EUSF0552","S1T3","S1"
"EUSF0553_ITS1F_B05_cleaned.ab1","Dothideomycetes","Dothideomycetes","Capnodiales","Capnodiales","Cladosporiaceae","Cladosporiaceae","Cladosporium_cladosporioides","0.999901","OTU265","EUSF0553","S1T3","S1"
"EUSF0554_ITS1F_C05_cleaned.ab1","Dothideomycetes","Dothideomycetes","Capnodiales","Capnodiales","Cladosporiaceae","Cladosporiaceae","Cladosporium_cladosporioides","0.999895","OTU11","EUSF0554","S1T3","S1"
"EUSF0555_ITS1F_D05_cleaned.ab1","Dothideomycetes","Dothideomycetes","Botryosphaeriales","Botryosphaeriales","Botryosphaeriaceae","Botryosphaeriaceae","Neofusicoccum_kwambonambiense,Neofusicoccum_ribis","0.977272","OTU45","EUSF0555","S1T3","S1"
"EUSF0556_ITS1F_E05_cleaned.ab1","Pezizomycetes","Pezizomycetes","Pezizales","Pezizales","Sarcosomataceae","Sarcosomataceae","Urnula_craterium","0.468756, 0.432958, 0.098259","OTU76","EUSF0556","S1T3","S1"
"EUSF0557_ITS1F_F05_cleaned.ab1","Dothideomycetes","Dothideomycetes","Capnodiales","Capnodiales","Cladosporiaceae","Cladosporiaceae","Cladosporium_cladosporioides","0.999895","OTU11","EUSF0557","S1T3","S1"
"EUSF0558_ITS1F_G05_cleaned.ab1","Dothideomycetes","Dothideomycetes","Botryosphaeriales","Botryosphaeriales","Botryosphaeriaceae","Botryosphaeriaceae","Neofusicoccum_kwambonambiense,Neofusicoccum_ribis","0.977272","OTU45","EUSF0558","S1T4","S1"
"EUSF0559_ITS1F_H05_cleaned.ab1","Dothideomycetes","Dothideomycetes","Botryosphaeriales","Botryosphaeriales","Botryosphaeriaceae","Botryosphaeriaceae","Neofusicoccum_kwambonambiense,Neofusicoccum_ribis","0.977272","OTU45","EUSF0559","S1T4","S1"
"EUSF0560_ITS1F_A06_cleaned.ab1","Dothideomycetes","Dothideomycetes","Botryosphaeriales","Botryosphaeriales","Botryosphaeriaceae","Botryosphaeriaceae","Neofusicoccum_kwambonambiense,Neofusicoccum_ribis","0.977272","OTU45","EUSF0560","S1T4","S1"
"EUSF0561_ITS1F_B06_cleaned.ab1","Dothideomycetes","Dothideomycetes","Capnodiales","Capnodiales","Mycosphaerellaceae","Mycosphaerellaceae","Ramularia_endophylla,Zymoseptoria_tritici","0.443956, 0.343666, 0.206628","OTU109","EUSF0561","S1T4","S1"
"EUSF0562_ITS1F_C06_cleaned.ab1","Pezizomycetes","Pezizomycetes","Pezizales","Pezizales","Pyronemataceae","Pyronemataceae","Tricharina_praecox","1","OTU160","EUSF0562","S1T4","S1"
"EUSF0563_ITS1F_D06_cleaned.ab1","Dothideomycetes","Dothideomycetes","Capnodiales","Capnodiales","Mycosphaerellaceae","Mycosphaerellaceae","Ramularia_endophylla,Zymoseptoria_tritici","0.443956, 0.343666, 0.206628","OTU109","EUSF0563","S1T4","S1"
"EUSF0564_ITS1F_E06_cleaned.ab1","Dothideomycetes","Dothideomycetes","Botryosphaeriales","Botryosphaeriales","Botryosphaeriaceae","Botryosphaeriaceae","Neofusicoccum_kwambonambiense,Neofusicoccum_ribis","0.977272","OTU45","EUSF0564","S1T4","S1"
"EUSF0565_ITS1F_F06_cleaned.ab1","Dothideomycetes","Dothideomycetes","Botryosphaeriales","Botryosphaeriales","Botryosphaeriaceae","Botryosphaeriaceae","Neofusicoccum_kwambonambiense,Neofusicoccum_ribis","0.977272","OTU45","EUSF0565","S1T4","S1"
"EUSF0566_ITS1F_G06_cleaned.ab1","Dothideomycetes","Dothideomycetes","Pleosporales","Pleosporales","Pleosporaceae","Pleosporaceae","Pleospora_herbarum","0.980613","OTU159","EUSF0566","S1T4","S1"
"EUSF0567_ITS1F_H06_cleaned.ab1","Dothideomycetes","Dothideomycetes","Botryosphaeriales","Botryosphaeriales","Botryosphaeriaceae","Botryosphaeriaceae","Neofusicoccum_kwambonambiense,Neofusicoccum_ribis","0.977272","OTU45","EUSF0567","S1T4","S1"
"EUSF0569_ITS1F_B07_cleaned.ab1","Dothideomycetes","Dothideomycetes","Botryosphaeriales","Botryosphaeriales","Botryosphaeriaceae","Botryosphaeriaceae","Neofusicoccum_kwambonambiense,Neofusicoccum_ribis","0.977272","OTU45","EUSF0569","S1T4","S1"
"EUSF0571_ITS1F_D07_cleaned.ab1","Dothideomycetes","Dothideomycetes","Capnodiales","Capnodiales","Mycosphaerellaceae","Mycosphaerellaceae","Ramularia_endophylla,Zymoseptoria_tritici","0.443956, 0.343666, 0.206628","OTU109","EUSF0571","S1T4","S1"
"EUSF0573_ITS1F_F07_cleaned.ab1","Eurotiomycetes","Eurotiomycetes","Eurotiales","Eurotiales","Aspergillaceae","Aspergillaceae","Penicillium_viridicatum,Penicillium_freii","0.895740, 0.069317","OTU44","EUSF0573","S1T4","S1"
"EUSF0574_ITS1F_G07_cleaned.ab1","Pezizomycetes","Pezizomycetes","Pezizales","Pezizales","Pezizaceae","Pezizaceae","Peziza_praetervisa,Peziza_proteana,Peziza_lobulata","0.997457","OTU243","EUSF0574","S1T4","S1"
"EUSF0575_ITS1F_H07_cleaned.ab1","Dothideomycetes","Dothideomycetes","Botryosphaeriales","Botryosphaeriales","Botryosphaeriaceae","Botryosphaeriaceae","Neofusicoccum_kwambonambiense,Neofusicoccum_ribis","0.977664","OTU10","EUSF0575","S1T5","S1"
"EUSF0576_ITS1F_A08_cleaned.ab1","Pezizomycetes","Pezizomycetes","Pezizales","Pezizales","Pezizaceae","Pezizaceae","Peziza_praetervisa,Peziza_proteana,Peziza_lobulata","0.997484","OTU73","EUSF0576","S1T5","S1"
"EUSF0577_ITS1F_B08_cleaned.ab1","Eurotiomycetes","Eurotiomycetes","Eurotiales","Eurotiales","Aspergillaceae","Aspergillaceae","Penicillium_glabrum","1","OTU181","EUSF0577","S1T5","S1"
"EUSF0578_ITS1F_C08_cleaned.ab1","Dothideomycetes","Dothideomycetes","Botryosphaeriales","Botryosphaeriales","Botryosphaeriaceae","Botryosphaeriaceae","Neofusicoccum_kwambonambiense,Neofusicoccum_ribis","0.977272","OTU45","EUSF0578","S1T5","S1"
"EUSF0579_ITS1F_D08_cleaned.ab1","Dothideomycetes","Dothideomycetes","Botryosphaeriales","Botryosphaeriales","Botryosphaeriaceae","Botryosphaeriaceae","Neofusicoccum_kwambonambiense,Neofusicoccum_ribis","0.977272","OTU45","EUSF0579","S1T5","S1"
"EUSF0580_ITS1F_E08_cleaned.ab1","Pezizomycetes","Pezizomycetes","Pezizales","Pezizales","Sarcosomataceae","Sarcosomataceae","Urnula_craterium","0.461683, 0.428135, 0.110153","OTU105","EUSF0580","S1T5","S1"
"EUSF0581_ITS1F_F08_cleaned.ab1","Dothideomycetes","Dothideomycetes","Botryosphaeriales","Botryosphaeriales","Botryosphaeriaceae","Botryosphaeriaceae","Neofusicoccum_kwambonambiense,Neofusicoccum_ribis","0.977272","OTU45","EUSF0581","S1T5","S1"
"EUSF0582_ITS1F_G08_cleaned.ab1","Dothideomycetes","Dothideomycetes","Botryosphaeriales","Botryosphaeriales","Botryosphaeriaceae","Botryosphaeriaceae","Neofusicoccum_kwambonambiense,Neofusicoccum_ribis","0.977272","OTU45","EUSF0582","S1T5","S1"
"EUSF0583_ITS1F_H08_cleaned.ab1","Eurotiomycetes","Eurotiomycetes","Eurotiales","Eurotiales","Aspergillaceae","Aspergillaceae","Penicillium_glabrum","1","OTU181","EUSF0583","FV0455","FV"
"EUSF0584_ITS1F_A09_cleaned.ab1","Pezizomycetes","Pezizomycetes","Pezizales","Pezizales","Pezizaceae","Pezizaceae","Peziza_praetervisa,Peziza_proteana,Peziza_lobulata","0.997484","OTU73","EUSF0584","S1T5","S1"
"EUSF0585_ITS1F_B09_cleaned.ab1","Dothideomycetes","Dothideomycetes","Botryosphaeriales","Botryosphaeriales","Botryosphaeriaceae","Botryosphaeriaceae","Neofusicoccum_kwambonambiense,Neofusicoccum_ribis","0.977272","OTU45","EUSF0585","S1T5","S1"
"EUSF0586_ITS1F_C09_cleaned.ab1","Dothideomycetes","Dothideomycetes","Botryosphaeriales","Botryosphaeriales","Botryosphaeriaceae","Botryosphaeriaceae","Neofusicoccum_kwambonambiense,Neofusicoccum_ribis","0.977272","OTU45","EUSF0586","S1T5","S1"
"EUSF0587_ITS1F_D09_cleaned.ab1","Dothideomycetes","Dothideomycetes","Botryosphaeriales","Botryosphaeriales","Botryosphaeriaceae","Botryosphaeriaceae","Neofusicoccum_kwambonambiense,Neofusicoccum_ribis","0.982573","OTU59","EUSF0587","S1T5","S1"
"EUSF0588_ITS1F_E09_cleaned.ab1","Dothideomycetes","Dothideomycetes","Botryosphaeriales","Botryosphaeriales","Botryosphaeriaceae","Botryosphaeriaceae","Neofusicoccum_kwambonambiense,Neofusicoccum_ribis","0.977272","OTU45","EUSF0588","S1T5","S1"
"EUSF0589_ITS1F_F09_cleaned.ab1","Pezizomycetes","Pezizomycetes","Pezizales","Pezizales","Pezizaceae","Pezizaceae","Peziza_praetervisa,Peziza_lobulata","0.995639","OTU131","EUSF0589","S1T5","S1"
"EUSF0590_ITS1F_G09_cleaned.ab1","Dothideomycetes","Dothideomycetes","Botryosphaeriales","Botryosphaeriales","Botryosphaeriaceae","Botryosphaeriaceae","Neofusicoccum_kwambonambiense,Neofusicoccum_ribis","0.977272","OTU45","EUSF0590","S1T5","S1"
"EUSF0591_ITS1F_H09_cleaned.ab1","Dothideomycetes","Dothideomycetes","Capnodiales","Capnodiales","Cladosporiaceae","Cladosporiaceae","Cladosporium_cladosporioides","0.999895","OTU11","EUSF0591","S1T5","S1"
"EUSF0592_ITS1F_A10_cleaned.ab1","Dothideomycetes","Dothideomycetes","Botryosphaeriales","Botryosphaeriales","Botryosphaeriaceae","Botryosphaeriaceae","Neofusicoccum_kwambonambiense,Neofusicoccum_ribis","0.977272","OTU45","EUSF0592","S1T5","S1"
"EUSF0593_ITS1F_B10_cleaned.ab1","Dothideomycetes","Dothideomycetes","Botryosphaeriales","Botryosphaeriales","Botryosphaeriaceae","Botryosphaeriaceae","Neofusicoccum_kwambonambiense,Neofusicoccum_ribis","0.977272","OTU45","EUSF0593","S1T5","S1"
"EUSF0594_ITS1F_C10_cleaned.ab1","Dothideomycetes","Dothideomycetes","Botryosphaeriales","Botryosphaeriales","Botryosphaeriaceae","Botryosphaeriaceae","Neofusicoccum_kwambonambiense,Neofusicoccum_ribis","0.977272","OTU45","EUSF0594","S1T5","S1"
"EUSF0595_ITS1F_D10_cleaned.ab1","Dothideomycetes","Dothideomycetes","Botryosphaeriales","Botryosphaeriales","Botryosphaeriaceae","Botryosphaeriaceae","Neofusicoccum_kwambonambiense,Neofusicoccum_ribis","0.977664","OTU10","EUSF0595","S1T5","S1"
"EUSF0596_ITS1F_E10_cleaned.ab1","Dothideomycetes","Dothideomycetes","Botryosphaeriales","Botryosphaeriales","Botryosphaeriaceae","Botryosphaeriaceae","Neofusicoccum_kwambonambiense,Neofusicoccum_ribis","0.977664","OTU10","EUSF0596","S1T5","S1"
"EUSF0597_ITS1F_F10_cleaned.ab1","Dothideomycetes","Dothideomycetes","Botryosphaeriales","Botryosphaeriales","Botryosphaeriaceae","Botryosphaeriaceae","Neofusicoccum_kwambonambiense,Neofusicoccum_ribis","0.977923","OTU118","EUSF0597","S1T5","S1"
"EUSF0598_ITS1F_G10_cleaned.ab1","Sordariomycetes","Sordariomycetes","Xylariales","Xylariales","Xylariaceae","Xylariaceae","Biscogniauxia_mediterranea","1","OTU245","EUSF0598","S2T1","S2"
"EUSF0599_ITS1F_H10_cleaned.ab1","Dothideomycetes","Dothideomycetes","Capnodiales","Capnodiales","Mycosphaerellaceae","Mycosphaerellaceae","Ramularia_endophylla,Zymoseptoria_tritici","0.443956, 0.343666, 0.206628","OTU109","EUSF0599","S2T1","S2"
"EUSF0600_ITS1F_A11_cleaned.ab1","Sordariomycetes","Sordariomycetes","Xylariales","Xylariales","Xylariaceae","Xylariaceae","Kretzschmaria_deusta","1","OTU182","EUSF0600","S2T1","S2"
"EUSF0601_ITS1F_B11_cleaned.ab1","Sordariomycetes","Sordariomycetes","Xylariales","Xylariales","Xylariaceae","Xylariaceae","Biscogniauxia_mediterranea","1","OTU4","EUSF0601","S2T1","S2"
"EUSF0602_ITS1F_C11_cleaned.ab1","Sordariomycetes","Sordariomycetes","Xylariales","Xylariales","Xylariaceae","Xylariaceae","Biscogniauxia_mediterranea","1","OTU83","EUSF0602","S2T1","S2"
"EUSF0603_ITS1F_D11_cleaned.ab1","Sordariomycetes","Sordariomycetes","Xylariales","Xylariales","Xylariaceae","Xylariaceae","Geniculisynnema_termiticola,Nemania_serpens","0.365968, 0.325806, 0.279457","OTU162","EUSF0603","S2T1","S2"
"EUSF0604_ITS1F_E11_cleaned.ab1","Sordariomycetes","Sordariomycetes","Xylariales","Xylariales","Xylariaceae","Xylariaceae","Biscogniauxia_mediterranea","1","OTU155","EUSF0604","S2T1","S2"
"EUSF0605_ITS1F_F11_cleaned.ab1","Pezizomycetes","Pezizomycetes","Pezizales","Pezizales","Pyronemataceae","Pyronemataceae","Tricharina_praecox","1","OTU148","EUSF0605","S2T1","S2"
"EUSF0606_ITS1F_G11_cleaned.ab1","Eurotiomycetes","Eurotiomycetes","Eurotiales","Eurotiales","Aspergillaceae","Aspergillaceae","Penicillium_viridicatum,Penicillium_freii","0.895740, 0.069317","OTU44","EUSF0606","S2T1","S2"
"EUSF0607_ITS1F_H11_cleaned.ab1","Sordariomycetes","Sordariomycetes","Xylariales","Xylariales","Xylariaceae","Xylariaceae","Geniculisynnema_termiticola,Nemania_serpens","0.380061, 0.308055, 0.282385","OTU31","EUSF0607","S2T1","S2"
"EUSF0608_ITS1F_A12_cleaned.ab1","Sordariomycetes","Sordariomycetes","Sordariales","Sordariales","Chaetomiaceae","Chaetomiaceae","Chaetomium_elatum","1","OTU262","EUSF0608","S2T1","S2"
"EUSF0609_ITS1F_B12_cleaned.ab1","Dothideomycetes","Dothideomycetes","Capnodiales","Capnodiales","Cladosporiaceae","Cladosporiaceae","Cladosporium_cladosporioides","0.999896","OTU249","EUSF0609","S2T1","S2"
"EUSF0610_ITS1F_C12_cleaned.ab1","Sordariomycetes","Sordariomycetes","Coniochaetales","Coniochaetales","Coniochaetaceae","Coniochaetaceae","Coniochaeta_ligniaria,Coniochaeta_hoffmannii","0.947604, 0.029135","OTU128","EUSF0610","S2T1","S2"
"EUSF0611_ITS1F_D12_cleaned.ab1","Sordariomycetes","Sordariomycetes","Xylariales","Xylariales","Xylariaceae","Xylariaceae","Kretzschmaria_deusta","1","OTU182","EUSF0611","S2T1","S2"
"EUSF0612_ITS1F_E12_cleaned.ab1","Dothideomycetes","Dothideomycetes","Capnodiales","Capnodiales","Cladosporiaceae","Cladosporiaceae,Davidiellaceae","Cladosporium_cladosporioides,Cladosporium_allicinum,Cladosporium_sphaerospermum,Davidiellaceae_sp_AN1","0.279184, 0.263257, 0.250346, 0.117188, 0.090023","OTU256","EUSF0612","S2T1","S2"
"EUSF0613_ITS1F_F12_cleaned.ab1","Dothideomycetes","Dothideomycetes","Capnodiales","Capnodiales","Mycosphaerellaceae","Mycosphaerellaceae","Ramularia_endophylla","1","OTU77","EUSF0613","S2T1","S2"
"EUSF0615_ITS1F_A01_cleaned.ab1","Sordariomycetes","Sordariomycetes","Xylariales","Xylariales","Xylariaceae","Xylariaceae","Nemania_aenea,Geniculisynnema_termiticola,Nemania_serpens","0.524397, 0.260797, 0.196232","OTU208","EUSF0615","S2T1","S2"
"EUSF0616_ITS1F_B01_mixed_cleaned.ab1","Sordariomycetes","Sordariomycetes","Xylariales","Xylariales","Xylariaceae","Xylariaceae","Biscogniauxia_mediterranea","1","OTU72","EUSF0616","S2T1","S2"
"EUSF0617_ITS1F_C01_cleaned.ab1","Sordariomycetes","Sordariomycetes","Xylariales","Xylariales","Xylariaceae","Xylariaceae","Nemania_aenea,Geniculisynnema_termiticola,Nemania_serpens","0.524397, 0.260797, 0.196232","OTU208","EUSF0617","S2T2","S2"
"EUSF0618_ITS1F_D01_cleaned.ab1","Sordariomycetes","Sordariomycetes","Xylariales","Xylariales","Xylariaceae","Xylariaceae","Nemania_aenea,Geniculisynnema_termiticola,Nemania_serpens","0.484688, 0.282167, 0.212338","OTU81","EUSF0618","S2T2","S2"
"EUSF0619_ITS1F_E01_cleaned.ab1","Sordariomycetes","Sordariomycetes","Xylariales","Xylariales","Xylariaceae","Xylariaceae","Geniculisynnema_termiticola,Nemania_serpens","0.380061, 0.308055, 0.282385","OTU31","EUSF0619","S2T2","S2"
"EUSF0620_ITS1F_F01_cleaned.ab1","","","","","","","Excluded because not Ascomycota","","","EUSF0620","S2T2","S2"
"EUSF0622_ITS1F_H01_cleaned.ab1","Eurotiomycetes","Eurotiomycetes","Eurotiales","Eurotiales","Aspergillaceae","Aspergillaceae","Penicillium_viridicatum,Penicillium_freii","0.999978","OTU32","EUSF0622","S2T2","S2"
"EUSF0623_ITS1F_A02_cleaned.ab1","Sordariomycetes","Sordariomycetes","Xylariales","Xylariales","Xylariaceae","Xylariaceae","Nemania_aenea,Geniculisynnema_termiticola,Nemania_serpens","0.347072, 0.323146, 0.156698, 0.093958, 0.079126","OTU93","EUSF0623","S2T2","S2"
"EUSF0624_ITS1F_B02_cleaned.ab1","Eurotiomycetes","Eurotiomycetes","Eurotiales","Eurotiales","Aspergillaceae","Aspergillaceae","Penicillium_viridicatum,Penicillium_freii","0.999988","OTU147","EUSF0624","S2T2","S2"
